0	45
1	99
2	153
3	63
3	135
4	117
4	189
5	81
5	171
6	51
6	75
7	69
7	93
8	57
8	87
9	105
9	129
10	123
10	147
11	111
11	141
12	159
12	183
13	177
13	201
14	165
14	195
15	46
15	53
16	52
16	59
17	47
17	58
18	64
18	71
19	70
19	77
20	65
20	76
21	82
21	89
22	88
22	95
23	83
23	94
24	100
24	107
25	106
25	113
26	101
26	112
27	118
27	125
28	124
28	131
29	119
29	130
30	136
30	143
31	142
31	149
32	137
32	148
33	154
33	161
34	160
34	167
35	155
35	166
36	172
36	179
37	178
37	185
38	173
38	184
39	190
39	197
40	196
40	203
41	191
41	202
42	45
42	46
43	46
43	47
44	45
44	47
48	51
48	52
49	52
49	53
50	51
50	53
54	57
54	58
55	58
55	59
56	57
56	59
60	63
60	64
61	64
61	65
62	63
62	65
66	69
66	70
67	70
67	71
68	69
68	71
72	75
72	76
73	76
73	77
74	75
74	77
78	81
78	82
79	82
79	83
80	81
80	83
84	87
84	88
85	88
85	89
86	87
86	89
90	93
90	94
91	94
91	95
92	93
92	95
96	99
96	100
97	100
97	101
98	99
98	101
102	105
102	106
103	106
103	107
104	105
104	107
108	111
108	112
109	112
109	113
110	111
110	113
114	117
114	118
115	118
115	119
116	117
116	119
120	123
120	124
121	124
121	125
122	123
122	125
126	129
126	130
127	130
127	131
128	129
128	131
132	135
132	136
133	136
133	137
134	135
134	137
138	141
138	142
139	142
139	143
140	141
140	143
144	147
144	148
145	148
145	149
146	147
146	149
150	153
150	154
151	154
151	155
152	153
152	155
156	159
156	160
157	160
157	161
158	159
158	161
162	165
162	166
163	166
163	167
164	165
164	167
168	171
168	172
169	172
169	173
170	171
170	173
174	177
174	178
175	178
175	179
176	177
176	179
180	183
180	184
181	184
181	185
182	183
182	185
186	189
186	190
187	190
187	191
188	189
188	191
192	195
192	196
193	196
193	197
194	195
194	197
198	201
198	202
199	202
199	203
200	201
200	203
